1	-1.7
2	-2.1
3	-1.3
4	-1.6
5	-1.8
6	-1.0
7	-0.1
8	-0.1
9	-0.2
10	0.9
11	1.0
12	2.1
13	1.3
14	1.6
15	1.9
16	4.2
17	4.5
18	3.9
19	9.3
20	20.7
21	31.0
22	-42.6
23	-18.3
24	45.0
25	-36.7
26	-16.6
27	44.6
28	-41.4
29	-40.4
30	45.4
31	0.2
32	-45.1
33	13.6
34	24.1
35	-30.5
36	3.9
37	22.2
38	-29.6
39	9.5
40	31.6
41	-46.3
42	5.6
43	50.6
44	-25.5
45	6.5
46	35.4
47	-28.7
48	2.2
49	32.1
50	-16.9
51	-23.9
52	5.1
53	6.1
54	-0.8
55	1.3
56	-0.6
57	-8.4
58	4.8
59	10.1
60	-22.6
61	-6.2
62	24.1
63	-18.4
64	-16.0
65	28.5
66	-14.9
67	-19.3
68	33.3
69	-0.1
70	-25.5
71	21.2
72	21.9
73	-28.4
74	6.3
75	20.1
76	-30.2
77	11.6
78	22.4
79	-35.9
80	3.9
81	30.7
82	-33.5
83	12.2
84	36.0
85	-49.3
86	-1.5
87	36.2
88	-35.0
89	-5.3
90	32.4
91	-24.9
92	0.8
93	24.5
94	-23.8
95	0.9
96	25.5
97	-23.8
98	-7.1
99	21.6
100	-12.7
