1	1.366
2	1.669
3	1.975
4	2.286
5	2.601
6	1.92
7	3.244
8	2.572
9	2.904
10	3.24
11	3.581
12	2.926
13	3.276
14	3.631
15	2.99
16	3.354
17	2.722
18	3.095
19	3.473
20	10.856
21	-3.757
22	24.636
23	-202.967
24	-172.564
25	176.843
26	-10.744
27	4.673
28	-8.904
29	-30.476
30	-159.043
31	145.395
32	132.839
33	-39.713
34	-121.258
35	-6.799
36	0.666
37	-120.863
38	-60.387
39	-36.906
40	-91.419
41	-11.926
42	-11.428
43	-94.924
44	-74.414
45	50.101
46	24.622
47	-111.851
48	-84.318
49	52.22
50	-1.236
51	-59.685
52	-50.129
53	25.433
54	6.001
55	-46.425
56	-17.844
57	38.742
58	14.334
59	0.933
60	-2.463
61	17.148
62	20.765
63	33.388
64	7.018
65	-33.346
66	-12.704
67	63.944
68	43.599
69	-25.74
70	-9.073
71	70.601
72	41.281
73	-25.032
74	-8.339
75	60.361
76	23.067
77	-20.22
78	-9.501
79	17.225
80	-4.043
81	-5.304
82	-1.558
83	3.194
84	-10.047
85	0.718
86	13.49
87	0.269
88	-21.945
89	1.847
90	13.646
91	-20.549
92	-34.736
93	-4.917
94	8.909
95	-9.259
96	-18.419
97	7.427
98	9.28
99	3.14
100	2.007
101	9.88
102	2.761
103	9.648
104	20.542
105	8.443
106	-9.65
107	2.265
108	27.186
109	9.115
110	-6.95
111	9.992
112	33.941
113	18.897
114	-10.141
115	3.829
116	23.805
117	13.788
118	-10.221
119	2.776
120	11.78
121	4.79
